geo,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,1.24,2.03,2.51,4.11,4.27,4.91,4.5,5.28,5.18
Albania,52.9,57.8,61.2,72.7,97.5,96.2,107,109,117,151,164,178,189,221,244,225
Algeria,145,140,146,152,148,138,164,174,185,161,160,173,211,238,289,257
Andorra,947,1040,1180,1670,1210,1280,1340,1480,1530,1610,1710,2010,2110,2250,2380,2280
Angola,59.5,33.1,37.5,30.4,32.9,44.6,70.3,50,58.4,47.9,53.1,82.7,105,161,267,139
Antigua and Barbuda,334,322,348,370,392,404,380,388,412,437,464,536,595,602,586,703
Argentina,387,383,410,434,468,452,450,353,379,422,497,567,668,762,921,703
Armenia,27.7,24.6,22.8,29.2,30.2,23.1,36.4,35.9,46.5,48.6,60.6,75.9,90.2,102,106,96.9
Australia,1050,1110,1210,1290,1430,1500,1570,1700,1760,1910,1980,2090,2240,2320,2370,2340
Austria,1660,1700,1850,1980,2100,2200,2210,2320,2420,2570,2650,2830,2960,3190,3330,3400
Azerbaijan,20.8,22.6,20,16.3,19.2,19,20.6,21.5,25.3,35,38.7,52,75,74.4,128,118
Bahamas,477,498,528,578,623,650,668,708,744,827,821,987,980,1010,977,907
Bahrain,572,577,607,617,633,551,622,684,720,705,700,668,675,694,759,794
Bangladesh,4.11,4.16,3.92,3.82,3.87,3.85,4.1,4.31,4.33,4.89,4.59,5.25,5.67,5.77,6.8,8.07
Barbados,434,444,435,436,454,521,561,633,600,774,682,889,918,965,690,990
Belarus,165,169,223,208,226,241,265,274,321,374,427,434,493,490,501,611
Belgium,1310,1410,1400,1440,1530,1680,1780,1880,2270,2410,2460,2420,2530,2780,2960,3010
Belize,102,79.5,90.4,88.3,89.7,104,135,133,154,157,172,184,214,221,251,237
Benin,21.5,21.4,19.8,21.8,24.3,23.2,29.3,23.4,28.2,28.5,32.3,33.3,34,33,37,32
Bhutan,41.5,63.8,76.5,80.8,120,131,129,191,112,103,123,158,190,212,220,239
Bolivia,77.7,84.2,86.5,96.4,111,115,121,135,113,119,139,135,136,145,153,147
Bosnia and Herzegovina,71.2,127,126,136,201,182,205,222,293,301,317,371,435,519,573,597
Botswana,130,140,172,177,177,249,329,415,422,710,656,607,791,806,985,830
Brazil,180,178,195,191,202,202,220,237,234,271,279,320,346,369,401,484
Brunei,956,1280,1250,1520,1340,1110,1140,1170,1210,1190,1080,989,1050,1030,1290,1230
Bulgaria,215,168,184,200,224,235,295,352,388,395,438,435,490,569,551,516
Burkina Faso,10.9,12.4,14,14.8,16.5,15.6,15,18.5,23.1,30.9,41.5,40.1,44.1,47.8,44.2,47.2
Burundi,5.92,6.08,4.58,5.13,5.07,5.67,7.24,7.09,6.19,12.5,14.7,18.3,19.7,18.1,16.4,18.1
Cambodia,6.88,16.7,13.8,9.52,9.46,11.9,16.7,21,27.4,29.9,23.1,25.3,31.1,34.9,40.4,45.1
Cameroon,12.1,12.5,14.3,12,13.2,15.3,19.4,22.9,24.5,21.7,22.2,22.3,22.7,22.9,30.2,36
Canada,1460,1460,1510,1630,1690,1770,1910,2000,2150,2260,2420,2560,2700,2820,3050,3100
Cape Verde,61.5,59.3,59.5,64.9,64,69.9,82.2,84,81.2,94,96.7,125,126,130,129,138
Central African Republic,8.9,6.53,8.72,7.42,8.91,10.8,10.2,11,10.2,9.86,8.85,9.48,10.4,9.99,10.4,11
Chad,12.6,13,12.9,11.6,13.5,17.7,17.6,19.4,23.9,21.2,26.7,17.9,13.5,10.6,11.9,15.4
Chile,191,220,240,272,289,320,350,365,303,318,337,364,414,482,576,578
China,26.6,29.2,32.5,35.8,39.3,41.4,42,48.9,55.6,64.3,74.1,87.4,113,142,182,203
Colombia,238,321,363,392,398,303,308,316,346,360,381,412,440,439,488,518
Comoros,26,24,23.6,20,18.1,14.2,10.5,16.2,17.9,20.5,23.5,27.1,30.1,33.1,18.3,33
"Congo, Dem. Rep.",0.44,0.32,0.549,0.47,0.616,0.46,0.514,0.579,2.65,3.1,4.86,5.55,6.92,11.2,14,11.6
"Congo, Rep.",48.3,45.8,45.7,57.5,45.3,33.7,38.1,38.2,38.8,42.5,48.4,53.8,55.1,47,51.5,48.4
Costa Rica,293,298,286,315,335,362,392,428,460,472,493,549,652,709,778,846
Cote d'Ivoire,16.3,20,23.1,22.2,21.3,21.3,15.4,16.4,15.3,17.3,14.2,15.3,22.5,24.9,19.8,21.1
Croatia,473,560,476,586,639,730,703,631,714,778,922,1020,1230,1340,1320,1280
Cuba,106,114,116,115,123,134,144,151,153,155,229,257,379,411,443,395
Cyprus,259,278,314,398,427,461,509,584,664,646,648,701,733,775,778,764
Czech Republic,815,830,832,837,849,886,971,1080,1200,1240,1290,1350,1420,1520,1770,1720
Denmark,1540,1630,1690,1750,2020,2100,2260,2420,2450,2630,2740,3030,3180,3420,3700,3860
Djibouti,41.2,37.7,43.9,54.2,68.7,61.2,55.8,57.5,70.5,61.3,90.7,91.9,111,108,125,111
Dominica,214,227,245,249,256,261,262,268,272,275,281,323,344,355,386,509
Dominican Republic,42.2,48.5,63.1,81.5,96.6,112,101,114,110,87.7,110,148,153,178,210,250
Ecuador,105,122,116,83.8,87.5,62.9,81.9,99.5,81.1,92.4,95.9,113,123,146,241,243
Egypt,50.5,52.3,57.8,65.2,73.4,79.2,87.8,94.8,93.3,93.8,95.8,113,107,115,113,108
El Salvador,92.3,120,128,149,153,166,169,177,178,191,214,250,240,242,265,278
Equatorial Guinea,64.5,59.8,82.4,123,72.2,68.6,148,428,263,275,248,304,407,506,1190,1170
Eritrea,12.4,8.51,11.9,12.5,13.3,14.3,16.3,13.2,10.1,8.6,8.77,8.66,8.87,10.3,7.57,7.72
Estonia,356,400,439,404,415,404,408,447,514,573,637,703,842,1040,1050,965
Ethiopia,4.66,4.92,5.66,6.75,8.03,10.8,13.6,12.9,14.1,14,15.9,16.4,21.6,19.8,22.5,27.1
Fiji,73.3,83,89.5,82.1,86.5,111,94.1,107,104,121,127,136,127,127,137,139
Finland,1060,1110,1160,1200,1240,1320,1420,1560,1680,1840,1950,2070,2160,2350,2410,2460
France,1670,1720,1770,1840,1900,2020,2160,2330,2350,2450,2600,2740,2880,2950,3090,3130
Gabon,137,147,131,189,128,123,144,138,179,171,143,159,180,168,245,276
Gambia,15.9,14.5,14.1,19.1,19.7,20.1,23.4,22.6,32.1,42.3,39.3,39.3,31.5,32.8,44.6,40.5
Georgia,5.42,13.4,26.1,22.2,22.4,24.4,31.1,34.1,35.1,40.2,58,70.9,67.5,87.1,108,123
Germany,1850,1970,1950,1990,2070,2130,2230,2330,2430,2430,2580,2720,2850,3030,3240,3340
Ghana,23.9,24.2,24.7,25.6,22.9,21.8,31.3,24,26.6,43,56.3,38.9,52,48.6,43.5,50.5
Greece,656,687,715,719,784,871,1070,1140,1210,1240,1410,1620,1640,1800,1880,1700
Grenada,125,132,146,158,207,267,350,283,270,237,291,319,310,290,315,267
Guatemala,39.3,37.6,44.3,64.7,79.5,77.1,85.7,81.1,88.2,85,87.3,105,111,114,120,114
Guinea,7.32,7.08,7.87,6.94,7.92,8.29,10.3,10.9,11.9,8.33,5.48,6.84,4.48,8.38,4.92,6.36
Guinea-Bissau,29,30.1,28.8,19.4,13.8,10.2,9.67,23.7,12.3,8.36,9.08,9.24,10,9.89,9.6,10
Guyana,68.7,73.1,84.3,84.4,78.5,102,106,111,105,140,153,108,81.8,154,158,142
Haiti,24.2,22.9,23.4,19.8,16.9,16.9,14.8,11.9,9.79,10.3,9.6,14.4,14.8,15.4,15.5,16.3
Honduras,64.6,57.1,57.7,72.6,70.2,92,95.3,106,135,128,124,123,138,146,178,
Hungary,553,537,551,571,586,603,669,782,935,945,1020,1080,1010,1060,1050,1020
Iceland,1650,1680,2140,2070,2430,2310,2380,2670,2680,2770,2760,2770,2900,3050,2940,2650
India,12.3,12.6,14,15.3,16.9,17.3,17.7,17.5,18.2,18.7,22,24.6,27.8,32,37.6,38.6
Indonesia,15.4,17.3,17,15.4,17.4,16.4,23.4,21.7,27.4,26.9,28.3,34.6,45,44.3,46.3,55
Iran,93.9,103,120,136,123,127,155,168,180,185,231,255,268,309,299,336
Iraq,,0.66,0.12,1.35,1.47,0.874,1.46,0.823,33.8,110,82.2,76.2,94.3,118,267,276
Ireland,863,911,1030,1100,1180,1320,1560,1780,1940,2140,2260,2440,2670,2890,2810,2560
Israel,968,1050,1090,1040,1030,1100,1170,1180,1080,1120,1080,1120,1170,1250,1270,1320
Italy,1080,1140,1220,1290,1330,1500,1660,1660,1690,1800,1920,2090,2120,2330,2390,2340
Jamaica,122,161,192,167,134,167,132,170,150,183,139,168,192,221,210,199
Japan,1280,1360,1380,1400,1480,1600,1690,1740,1800,1890,2030,2070,2210,2320,2510,2640
Jordan,140,142,154,155,151,147,160,171,169,197,202,200,248,289,347,303
Kazakhstan,107,104,119,124,96.8,101,109,120,139,177,219,227,195,258,305,321
Kenya,21.1,18.3,17.6,22.4,19,24.6,24.3,22.8,23.1,22.7,24.8,26.9,29.1,26.2,32.6,34.4
Kiribati,138,144,156,128,164,157,171,180,206,227,216,216,270,258,249,212
Kuwait,873,799,866,1020,802,535,815,801,851,795,758,763,722,823,1430,910
Kyrgyz Republic,39.4,33.5,33.7,42.2,36,27.3,27.8,30.8,32.1,39.1,42,55.2,66.5,62.1,78.4,78.8
Lao,22.4,25.7,37.5,29.5,13.1,14,14.2,14.1,17.3,11.8,9.21,9.72,9.38,23.1,26.1,32.3
Latvia,210,206,228,263,278,261,278,320,344,432,472,650,727,742,657,668
Lebanon,213,234,251,237,226,246,278,310,286,332,353,342,378,400,404,384
Lesotho,30.1,32.5,27.7,30.5,30.2,34.8,45.8,40.8,45.1,44.9,40,54,77.1,89.1,104,130
