geo,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,94.4,93.2,92.2,88.5,88.2,87.8,88.2,88.4,88.3
Albania,50,60.4,60.8,60.5,56.7,63.9,61.8,63.9,64.1,60.3,59.8,60.6,61.8,60.4,58.8,61
Algeria,24.6,22.4,25.6,26.2,27.1,26.7,22.6,22.7,21.3,28.9,27.9,25.6,22.7,20.5,20.7,22.1
Andorra,35.6,34.8,33.8,28,33.9,35.2,31.3,31.2,31.4,30.8,30.9,29.6,30.2,30.1,29.9,29.9
Angola,13.2,23.1,22.1,26.9,25.8,20.8,14.5,21.1,18.9,24,25.5,20.7,19.8,15.7,10.1,17.5
Antigua and Barbuda,33.5,35.8,34,32,30.7,31,34.5,34.8,35.8,36.6,36.9,34.3,33.6,32.1,32.9,29
Argentina,40.2,42.3,45.5,45.8,44.9,46.1,45.8,46.4,47.7,47.7,45.8,44.2,40.6,37.4,33.6,45.4
Armenia,69,72.1,75.7,71.5,71.7,81.9,73.3,74.8,72.8,74.6,69.6,62,58.4,55.5,56.5,59.4
Australia,34.2,34.8,33.1,33.6,31.6,33.2,33.7,33.1,33.9,33.3,33.1,33.4,32.5,32,32,32
Austria,26.1,26.5,24.3,24,23.3,23.2,23.9,24.2,24.5,24.3,23.9,24,23.6,22.8,22.3,22.5
Azerbaijan,76.3,76,77.6,83.5,81.7,81.5,81.1,82.3,87.3,87,88.7,85.8,80.4,80.7,76.9,79.7
Bahamas,60.1,59.9,58.2,55.1,53.3,52.4,52.5,52.9,53.3,52.8,55.7,52.8,55,54.8,53.2,54.4
Bahrain,30.4,30.8,29.9,31.2,30.8,32.5,33,33.4,33.1,32.8,31,30,29.3,28.8,29.9,26.7
Bangladesh,63.9,63.8,57.7,59.2,60.1,61,60.1,60.3,62.4,61.2,65.1,63.5,65.6,68.3,67,65.7
Barbados,32,31.7,34.8,34.6,34.6,34.2,32.4,31.6,34.4,35.5,35.6,35.2,36,34.5,41.4,35
Belarus,28.9,24.7,17.7,23,23.5,24.5,28.4,29.5,26.2,25.3,27.1,29.8,30.9,34.9,36,22.3
Belgium,23.2,21.8,24.6,25.2,25.4,25.4,24.6,26.2,25.2,24,24.1,26.1,26.5,25,24.9,25.3
Belize,37.8,43.4,42,43,44.3,47.2,42.3,43.7,42.6,42.7,40.3,39,36.2,37,36.2,37.3
Benin,55,55.7,57.9,55.8,54,55.8,50.8,55.8,52.3,52.3,50.3,49.8,49,48.3,46.2,50.5
Bhutan,31.6,29.9,30.8,32.8,24.4,20.7,21.6,16.2,25.9,27.5,24,18.9,15.2,14,13.5,13.2
Bolivia,36.2,35.6,34,38.8,41.9,39.9,40.7,37.2,39.9,37.4,33.8,30.1,31.8,34.9,35.4,37.2
Bosnia and Herzegovina,52.9,55.9,55.5,57,45.5,42.4,39.3,36.7,30.8,42.8,45,44.5,43.5,41.8,38.6,38.6
Botswana,47.6,47.5,43.5,43.5,42.2,37.8,30,28.9,31.5,23.4,25.7,27.1,23.5,24,24,27.5
Brazil,57,59.5,57,57.4,57.3,59.7,57.7,55.4,55.6,53,59.9,58.3,58.2,57.2,56.4,53
Brunei,22.1,18.6,18.8,16.2,22.2,13.5,18.9,17.6,16.3,16.3,15.8,16,15.5,14,14.8,15.1
Bulgaria,26,30.4,28.3,30.1,33.7,39.1,41.6,38.7,37.9,39.2,39.1,43,41.8,41.5,44.6,45.5
Burkina Faso,61.3,61.6,58.9,60.1,58.8,60.4,62.6,56.1,53.6,46.3,40.5,43.1,39.7,41,50.3,49
Burundi,67.8,65.3,71.2,71.7,71.2,71.4,66.7,69.5,73.8,64.1,65.2,64.8,62.3,62.8,64,61.8
Cambodia,84,74.4,76.3,81.8,81.8,79.6,76.5,73.7,71.9,71.3,79.5,75,67.7,67.4,63.4,62.8
Cameroon,76.7,82.7,78.9,82.2,81.2,79.2,76,73.4,73.2,76.1,76.4,77,77.6,79.6,74.1,70.4
Canada,28.8,29.2,29.9,29.4,30,29.6,30,30.5,29.8,29.8,29.8,30.2,29.8,29.5,29.4,29.5
Cape Verde,19.3,17.9,17.9,24.7,26.1,26.5,24.2,24.4,26.1,22.1,22.7,22,24.9,26.8,25.9,25
Central African Republic,60.3,69.3,62.6,66.7,61.6,58.6,61.2,58.8,60.2,62,64.7,64.6,65.8,66.7,65.8,64.6
Chad,65.3,62.8,64.8,69.3,66.1,57.5,60.2,69,53.2,64.4,58.9,67.9,76.7,78.4,80.3,75
Chile,61.7,63.4,62.7,61.7,60.1,58.4,57,56.2,61.2,60.1,60,57.9,56.8,56,52.4,51.8
China,49.5,53.4,55.8,58.2,59.1,61.7,64.4,64.2,63.8,62,61.2,59.4,53.1,50,47.5,46.4
Colombia,41.4,35.2,35.1,28.1,23.7,29.3,29.7,29.6,29.9,29.4,29.9,29.2,28.9,29.4,28.9,27.3
Comoros,28.8,30.4,33.1,36.3,39.4,47.3,52.5,42.7,41.8,39.6,39,36.3,34.7,32.6,46.8,32.8
"Congo, Dem. Rep.",96,96.7,95,96.3,94.3,95.9,94.8,94.1,78.8,78.2,70,68.9,63.8,52.9,55.3,57.5
"Congo, Rep.",40.4,39.5,40.2,41.2,42.5,42.3,45,47.3,50.1,46.2,40.5,36.7,42.4,51.9,52.5,53.3
Costa Rica,23.5,23.8,24.6,23.9,23.7,23.2,24.7,25.4,25.9,27.9,29.7,31,32.7,33.1,32.6,31.9
Cote d'Ivoire,77.4,76.3,76.5,79.6,76.9,73.7,75.8,70,74.2,74.6,80.2,80.8,77.7,76.3,79.2,78.4
